
===================================================
Simulating (simso.schedulers.EDF) on config (config_overhead_2_50_50.xml) 
with sim module (default_simulator).
Chroms: 30, Gen: 100, ESC: 0.1 0.5 0.4, MR: 1.5
Selection: Roulette, MS: False, Crossover: OX2, Keep Elite: False
===================================================


26999906 Task 36_1 CPU 1
27053875 Task 72_10 CPU 1
27067170 Task 36_1 CPU 1
27104785 Task 21_9 CPU 1
27110658 Task 36_1 CPU 1
27154318 Task 8_4 CPU 1
27157633 Task 3_17 CPU 2
27171605 Task 16_3 CPU 2
27188538 Task 36_1 CPU 1
27274563 Task 75_1 CPU 1
27417729 Task 60_3 CPU 1
27506276 Task 75_1 CPU 1
27523052 Task 44_1 CPU 2
27524021 Task 19_21 CPU 2
27526285 Task 44_1 CPU 2
27550251 Task 22_14 CPU 2
27550858 Task 74_1 CPU 1
27568211 Task 75_1 CPU 2
27590745 Task 44_1 CPU 1
27731865 Task 95_9 CPU 1
27740129 Task 44_1 CPU 1
27821185 Task 27_9 CPU 1
27874032 Task 44_1 CPU 1
28016033 Task 68_6 CPU 1
28025972 Task 44_1 CPU 1
28055993 Task 34_3 CPU 1
28076138 Task 44_1 CPU 1
28218320 Task 61_9 CPU 1
28239460 Task 44_1 CPU 1
28261107 Task 37_1 CPU 2
28404607 Task 67_5 CPU 2
28431240 Task 37_1 CPU 2
28481395 Task 100_2 CPU 2
28518435 Task 37_1 CPU 2
28592381 Task 4_11 CPU 2
28612048 Task 37_1 CPU 2
28746189 Task 23_5 CPU 2
28779427 Task 42_10 CPU 1
28780677 Task 44_1 CPU 2
28813802 Task 37_1 CPU 1
28837133 Task 72_11 CPU 1
28850428 Task 37_1 CPU 1
28854985 Task 3_18 CPU 1
28868957 Task 37_1 CPU 1
28900222 Task 19_22 CPU 1
28902486 Task 37_1 CPU 1
29007754 Task 97_1 CPU 1
29289981 Task 38_11 CPU 2
29308042 Task 44_1 CPU 2
29315400 Task 92_10 CPU 2
29323699 Task 44_1 CPU 2
29385236 Task 6_12 CPU 2
29389982 Task 44_1 CPU 1
29438117 Task 37_1 CPU 2
29471242 Task 51_1 CPU 2
29669501 Task 22_15 CPU 1
29687461 Task 44_1 CPU 1
29707345 Task 9_9 CPU 1
29715500 Task 44_1 CPU 1
30048953 Task 64_3 CPU 1
30098987 Task 44_1 CPU 1
30276423 Task 19_23 CPU 1
30278687 Task 44_1 CPU 1
30475353 Task 37_1 CPU 2
30492883 Task 21_10 CPU 2
30498756 Task 37_1 CPU 2
30552337 Task 3_19 CPU 2
30566309 Task 37_1 CPU 2
30577487 Task 95_10 CPU 2
30585751 Task 37_1 CPU 2
30669597 Task 58_7 CPU 2
30684603 Task 37_1 CPU 2
30801252 Task 59_8 CPU 2
30815242 Task 37_1 CPU 2
30891483 Task 61_10 CPU 2
30912623 Task 37_1 CPU 2
30963575 Task 68_7 CPU 2
30973514 Task 37_1 CPU 2
31070657 Task 12_5 CPU 2
31072118 Task 37_1 CPU 2
31166543 Task 10_2 CPU 2
31199335 Task 28_4 CPU 1
31217957 Task 44_1 CPU 1
31224916 Task 37_1 CPU 2
31230043 Task 15_7 CPU 2
31298833 Task 27_10 CPU 1
31351680 Task 44_1 CPU 1
31356347 Task 37_1 CPU 2
31372874 Task 92_11 CPU 2
31381173 Task 37_1 CPU 2
31451619 Task 4_12 CPU 2
31463990 Task 72_12 CPU 1
31471292 Task 45_5 CPU 2
31476800 Task 44_1 CPU 2
31477285 Task 37_1 CPU 1
31550775 Task 5_3 CPU 1
31607225 Task 37_1 CPU 1
31652624 Task 19_24 CPU 1
31654888 Task 37_1 CPU 1
31788751 Task 22_16 CPU 1
31806711 Task 37_1 CPU 1
31977141 Task 42_11 CPU 1
32011516 Task 37_1 CPU 1
32056621 Task 6_13 CPU 1
32109502 Task 37_1 CPU 1
32218979 Task 38_12 CPU 1
32237040 Task 37_1 CPU 1
32249689 Task 3_20 CPU 1
32263661 Task 37_1 CPU 1
32573423 Task 53_5 CPU 2
32703379 Task 61_11 CPU 2
33023582 Task 72_13 CPU 2
33028825 Task 19_25 CPU 1
33031089 Task 37_1 CPU 1
33064097 Task 40_5 CPU 2
33074461 Task 84_1 CPU 1
33084617 Task 37_1 CPU 2
33190133 Task 96_5 CPU 1
33399986 Task 41_2 CPU 1
33420763 Task 9_10 CPU 2
33428918 Task 37_1 CPU 2
33443571 Task 67_6 CPU 2
33470204 Task 37_1 CPU 2
33590247 Task 95_11 CPU 2
33598511 Task 37_1 CPU 2
33818818 Task 76_3 CPU 2
33880981 Task 21_11 CPU 1
33886854 Task 41_2 CPU 1
33908001 Task 22_17 CPU 1
33925961 Task 41_2 CPU 1
33947041 Task 3_21 CPU 1
33961013 Task 41_2 CPU 1
34049753 Task 37_1 CPU 2
34310857 Task 4_13 CPU 2
34330524 Task 37_1 CPU 2
34337949 Task 61_12 CPU 2
34359089 Task 37_1 CPU 2
34405026 Task 19_26 CPU 2
34407290 Task 37_1 CPU 2
34728006 Task 6_14 CPU 2
34776481 Task 27_11 CPU 1
34780887 Task 41_2 CPU 2
34829328 Task 37_1 CPU 1
35147977 Task 38_13 CPU 1
35166038 Task 37_1 CPU 1
35174855 Task 42_12 CPU 1
35209230 Task 37_1 CPU 1
35633063 Task 64_4 CPU 1
35644393 Task 3_22 CPU 2
